"pkey","souce_system","personid","eventid","sub_eventid","registration_date","registration_status"
"RegK7856109777922","Desktop_Test_Flatfile","PerK5384854505252","EveK7072007174612","SbeK6037323411293","1976-03-06","Registered"
"RegK1655230177153","Desktop_Test_Flatfile","PerK6233868392503","EveK1108793310937","SbeK0242940245169","2006-08-01","Registered"
"RegK2880786412789","Desktop_Test_Flatfile","PerK3647907326351","EveK8998887205170","SbeK2241225258793","2011-12-24","Registered"
"RegK1543920988977","Desktop_Test_Flatfile","PerK2503590950727","EveK1108793310937","SbeK0242940245169","1975-06-21","Registered"
"RegK7309003317027","Desktop_Test_Flatfile","PerK1066408237423","EveK1108793310937","SbeK0242940245169","2006-09-20","Registered"
"RegK2957490068882","Desktop_Test_Flatfile","PerK1252878863372","EveK8478892628770","SbeK6844061001835","1999-01-08","Registered"
"RegK8095371921957","Desktop_Test_Flatfile","PerK2193358574946","EveK8998887205170","SbeK2241225258793","2018-03-10","Registered"
"RegK3053779201786","Desktop_Test_Flatfile","PerK2127731235797","EveK2622542677106","SbeK4657619058142","2005-06-09","Registered"
"RegK0582000073296","Desktop_Test_Flatfile","PerK9543840744396","EveK9390889204004","SbeK9231195039808","2015-01-20","Registered"
"RegK7199991369135","Desktop_Test_Flatfile","PerK8248942569595","EveK7072007174612","SbeK6037323411293","1986-09-27","Registered"
"RegK7140867106149","Desktop_Test_Flatfile","PerK6042413911256","EveK8064394539005","SbeK5024701694479","2009-05-06","Registered"
"RegK2052114809466","Desktop_Test_Flatfile","PerK8282341005827","EveK8728273134018","SbeK7046175787127","2015-10-11","Registered"
"RegK8852431977411","Desktop_Test_Flatfile","PerK9746281585720","EveK8478892628770","SbeK6844061001835","1983-05-14","Registered"
"RegK9100451412429","Desktop_Test_Flatfile","PerK1318526634029","EveK8119860919482","SbeK4141265607149","1999-03-12","Registered"
"RegK7807557626874","Desktop_Test_Flatfile","PerK6004193709096","EveK8728273134018","SbeK7046175787127","1976-07-13","Registered"
"RegK9831505146518","Desktop_Test_Flatfile","PerK2482028582245","EveK8064394539005","SbeK5024701694479","1994-01-27","Registered"
"RegK5394353634421","Desktop_Test_Flatfile","PerK0821749166754","EveK8728273134018","SbeK7046175787127","1990-02-21","Registered"
"RegK9739607478318","Desktop_Test_Flatfile","PerK9868734084946","EveK9390889204004","SbeK9231195039808","2005-11-01","Registered"
"RegK2958152780326","Desktop_Test_Flatfile","PerK5664577355816","EveK8064394539005","SbeK5024701694479","2009-06-06","Registered"
"RegK7245881543892","Desktop_Test_Flatfile","PerK4269979185279","EveK8728273134018","SbeK7046175787127","2002-06-14","Registered"
