"pkey","souce_system","personid","eventid","sub_eventid","registration_number"
"ResK0805905554685","Desktop_Test_Flatfile","PerK5384854505252","EveK8478892628770","SbeK6844061001835","9161498805544"
"ResK2337103223806","Desktop_Test_Flatfile","PerK6233868392503","EveK8478892628770","SbeK6844061001835","8003134124484"
"ResK9292012190881","Desktop_Test_Flatfile","PerK3647907326351","EveK2622542677106","SbeK4657619058142","1437593097251"
"ResK5233790575280","Desktop_Test_Flatfile","PerK2503590950727","EveK2175072642231","SbeK5458392504715","0094179245447"
"ResK9740213672731","Desktop_Test_Flatfile","PerK1066408237423","EveK1108793310937","SbeK0242940245169","7035976127454"
"ResK8206491955474","Desktop_Test_Flatfile","PerK1252878863372","EveK8478892628770","SbeK6844061001835","4686742302716"
"ResK9154254794794","Desktop_Test_Flatfile","PerK2193358574946","EveK8728273134018","SbeK7046175787127","6563963021801"
"ResK7076901122809","Desktop_Test_Flatfile","PerK2127731235797","EveK8478892628770","SbeK6844061001835","9072670425927"
"ResK1571446852021","Desktop_Test_Flatfile","PerK9543840744396","EveK2175072642231","SbeK5458392504715","0356465594449"
"ResK1925885300146","Desktop_Test_Flatfile","PerK8248942569595","EveK7072007174612","SbeK6037323411293","9952763369102"
"ResK5196843377739","Desktop_Test_Flatfile","PerK6042413911256","EveK7072007174612","SbeK6037323411293","9154184751089"
"ResK9097626913136","Desktop_Test_Flatfile","PerK8282341005827","EveK8064394539005","SbeK5024701694479","7596708545477"
"ResK1063672344048","Desktop_Test_Flatfile","PerK9746281585720","EveK2175072642231","SbeK5458392504715","9553348380811"
"ResK5266323324376","Desktop_Test_Flatfile","PerK1318526634029","EveK2175072642231","SbeK5458392504715","4268163191713"
"ResK4413961839293","Desktop_Test_Flatfile","PerK6004193709096","EveK7072007174612","SbeK6037323411293","1579835507040"
"ResK8718357969063","Desktop_Test_Flatfile","PerK2482028582245","EveK9390889204004","SbeK9231195039808","3537169073585"
"ResK8559025470128","Desktop_Test_Flatfile","PerK0821749166754","EveK7072007174612","SbeK6037323411293","5201467841389"
"ResK2605575662738","Desktop_Test_Flatfile","PerK9868734084946","EveK8064394539005","SbeK5024701694479","9078362137079"
"ResK2368185892390","Desktop_Test_Flatfile","PerK5664577355816","EveK2175072642231","SbeK5458392504715","2374705656090"
"ResK1720562450028","Desktop_Test_Flatfile","PerK4269979185279","EveK2622542677106","SbeK4657619058142","4286887947713"
