"sub_event_pkey","sub_event_souce_system","parent_eventid","sub_event_name","venue"
"SbeK1944934890025","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Donovanbury"
"SbeK5535793585519","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Cartertown"
"SbeK9439741751444","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","South Stevehaven"
"SbeK3493045685085","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Leahmouth"
"SbeK2248148605147","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Port Garyborough"
"SbeK7837966724359","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Jenniferhaven"
"SbeK5619987987652","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Aaronborough"
"SbeK7269976175379","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Thorntontown"
"SbeK3926836817087","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Popefurt"
"SbeK7989337565754","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Janiceland"
