"hierarchy_pkey","hierarchy_souce_system","event_pkey","sub_event_pkey","registration_pkey","result_pkey"
"HieK1042350867062","Desktop_Test_Flatfile","EveK4785977917976","SbeK1356946430814","RegK3530700368034","ResK7311891045845"
"HieK1042350867062","Desktop_Test_Flatfile","EveK8691472328840","SbeK9010825072183","RegK4420398174750","ResK3944850786196"
"HieK1042350867062","Desktop_Test_Flatfile","EveK7131777889420","SbeK7692512960557","RegK5004058534949","ResK7633149017665"
"HieK1042350867062","Desktop_Test_Flatfile","EveK5547324033109","SbeK5539026253329","RegK6257939703678","ResK3672814144187"
"HieK1042350867062","Desktop_Test_Flatfile","EveK0661589060856","SbeK1170819081527","RegK9962299131760","ResK2441892759542"
"HieK1042350867062","Desktop_Test_Flatfile","EveK7776751993962","SbeK4493024372509","RegK3070004331650","ResK9263209242348"
"HieK1042350867062","Desktop_Test_Flatfile","EveK0661589060856","SbeK1170819081527","RegK2757055519329","ResK4217320994339"
"HieK1042350867062","Desktop_Test_Flatfile","EveK4114643654912","SbeK4655441185913","RegK6777827959678","ResK8696923795561"
"HieK1042350867062","Desktop_Test_Flatfile","EveK7776751993962","SbeK4493024372509","RegK8207689520405","ResK5008529782853"
"HieK1042350867062","Desktop_Test_Flatfile","EveK5026471911473","SbeK0780832055620","RegK7262260455980","ResK0906250356457"
"HieK1042350867062","Desktop_Test_Flatfile","EveK4785977917976","SbeK1356946430814","RegK8996429671384","ResK6424563950840"
"HieK1042350867062","Desktop_Test_Flatfile","EveK4114643654912","SbeK4655441185913","RegK4625236883676","ResK4628267222032"
"HieK1042350867062","Desktop_Test_Flatfile","EveK0661589060856","SbeK1170819081527","RegK1845803310388","ResK7007306206689"
"HieK1042350867062","Desktop_Test_Flatfile","EveK4785977917976","SbeK1356946430814","RegK9814489570999","ResK3905428239636"
"HieK1042350867062","Desktop_Test_Flatfile","EveK5547324033109","SbeK5539026253329","RegK5915300520446","ResK0659831906700"
"HieK1042350867062","Desktop_Test_Flatfile","EveK8691472328840","SbeK9010825072183","RegK2925066002066","ResK3968630243082"
"HieK1042350867062","Desktop_Test_Flatfile","EveK8691472328840","SbeK9010825072183","RegK2056653886759","ResK4514699247418"
"HieK1042350867062","Desktop_Test_Flatfile","EveK7131777889420","SbeK7692512960557","RegK8926600730401","ResK7632371486119"
"HieK1042350867062","Desktop_Test_Flatfile","EveK4114643654912","SbeK4655441185913","RegK3245078745416","ResK3261770513658"
"HieK1042350867062","Desktop_Test_Flatfile","EveK5547324033109","SbeK5539026253329","RegK1751566167704","ResK9002338490585"
